,Subject,ProgrammingStyle,Comprehension,ResponseTime,Algorithm,Flag,Correctness
280,813,I,BU,514.0,PrimeFactors,nan,True
281,815,I,BU,231.475,PrimeFactors,Outlier,True
282,831,I,BU,171.0,PrimeFactors,nan,False
283,832,I,BU,277.0,PrimeFactors,nan,False
284,854,I,BU,181.0,PrimeFactors,nan,False
285,855,I,BU,250.0,PrimeFactors,nan,False
286,875,I,BU,285.0,PrimeFactors,nan,False
287,876,I,BU,293.0,PrimeFactors,nan,False
288,939,I,BU,402.0,PrimeFactors,nan,False
289,945,I,BU,292.0,PrimeFactors,nan,False
290,631,I,BU,110.0,ReverseString,nan,True
291,699,I,BU,162.0,ReverseString,nan,True
292,700,I,BU,87.0,ReverseString,nan,False
293,716,I,BU,231.475,ReverseString,Outlier,True
295,734,I,BU,45.0,ReverseString,nan,True
296,737,I,BU,35.0,ReverseString,nan,False
297,751,I,BU,348.0,ReverseString,nan,True
298,761,I,BU,180.0,ReverseString,nan,False
299,767,I,BU,65.0,ReverseString,nan,True
300,773,I,BU,231.475,ReverseString,Outlier,True
301,774,I,BU,212.0,ReverseString,nan,True
302,794,I,BU,13.0,ReverseString,nan,True
303,799,I,BU,104.0,ReverseString,nan,True
304,805,I,BU,294.0,ReverseString,nan,True
305,817,I,BU,274.0,ReverseString,nan,True
306,825,I,BU,210.0,ReverseString,nan,True
307,828,I,BU,130.0,ReverseString,nan,True
308,837,I,BU,123.0,ReverseString,nan,True
310,852,I,BU,231.475,ReverseString,Outlier,False
311,859,I,BU,173.0,ReverseString,nan,True
312,860,I,BU,164.0,ReverseString,nan,True
314,886,I,BU,49.0,ReverseString,nan,True
315,894,I,BU,24.0,ReverseString,nan,True
316,936,I,BU,471.0,ReverseString,nan,False
317,946,I,BU,211.0,ReverseString,nan,True
318,958,I,BU,78.0,ReverseString,nan,True
319,694,R,TD,188.0,BinarySearch,nan,False
320,704,R,TD,269.0,BinarySearch,nan,False
321,739,R,TD,123.0,BinarySearch,nan,False
323,813,R,TD,75.0,BinarySearch,nan,False
324,815,R,TD,348.0,BinarySearch,nan,False
325,831,R,TD,83.0,BinarySearch,nan,False
326,832,R,TD,208.0,BinarySearch,nan,False
327,854,R,TD,492.0,BinarySearch,notNormal,False
328,855,R,TD,384.0,BinarySearch,nan,False
329,875,R,TD,151.0,BinarySearch,nan,True
330,876,R,TD,139.0,BinarySearch,nan,True
331,939,R,TD,317.0,BinarySearch,nan,True
332,945,R,TD,164.0,BinarySearch,nan,False
333,631,R,TD,42.0,BubbleSort,nan,False
334,699,R,TD,17.0,BubbleSort,nan,True
335,700,R,TD,22.0,BubbleSort,nan,True
336,716,R,TD,69.0,BubbleSort,nan,True
338,734,R,TD,4.0,BubbleSort,nan,True
339,737,R,TD,18.0,BubbleSort,nan,True
340,751,R,TD,32.0,BubbleSort,nan,True
341,760,R,TD,174.76073619631902,BubbleSort,Outlier,False
342,761,R,TD,54.0,BubbleSort,nan,False
343,767,R,TD,174.76073619631902,BubbleSort,Outlier,False
344,773,R,TD,153.0,BubbleSort,nan,False
345,774,R,TD,141.0,BubbleSort,nan,False
346,794,R,TD,7.0,BubbleSort,nan,True
347,799,R,TD,32.0,BubbleSort,nan,True
348,805,R,TD,120.0,BubbleSort,nan,True
349,825,R,TD,25.0,BubbleSort,nan,True
350,828,R,TD,174.76073619631902,BubbleSort,Outlier,False
351,837,R,TD,22.0,BubbleSort,nan,True
353,852,R,TD,35.0,BubbleSort,nan,False
354,859,R,TD,24.0,BubbleSort,nan,True
355,860,R,TD,37.0,BubbleSort,nan,True
357,886,R,TD,6.0,BubbleSort,nan,True
358,894,R,TD,3.0,BubbleSort,nan,True
359,936,R,TD,47.0,BubbleSort,nan,False
360,946,R,TD,20.0,BubbleSort,nan,True
361,958,R,TD,8.0,BubbleSort,nan,True
362,643,R,TD,64.0,Factorial,nan,True
363,694,R,TD,36.0,Factorial,nan,True
364,704,R,TD,51.0,Factorial,nan,True
365,715,R,TD,108.0,Factorial,nan,True
366,733,R,TD,84.0,Factorial,nan,True
367,739,R,TD,41.0,Factorial,nan,True
368,748,R,TD,88.0,Factorial,nan,True
369,756,R,TD,35.0,Factorial,nan,True
370,757,R,TD,37.0,Factorial,nan,True
371,772,R,TD,106.0,Factorial,nan,True
372,780,R,TD,51.0,Factorial,nan,True
374,789,R,TD,130.0,Factorial,nan,False
375,801,R,TD,68.0,Factorial,nan,True
376,813,R,TD,124.0,Factorial,nan,True
377,815,R,TD,97.0,Factorial,nan,True
378,831,R,TD,40.0,Factorial,nan,True
379,832,R,TD,82.0,Factorial,nan,True
380,833,R,TD,31.0,Factorial,nan,True
381,854,R,TD,146.0,Factorial,nan,True
382,855,R,TD,54.0,Factorial,nan,True
383,875,R,TD,103.0,Factorial,nan,True
384,876,R,TD,87.0,Factorial,nan,True
385,900,R,TD,143.0,Factorial,nan,True
386,939,R,TD,107.0,Factorial,nan,True
387,945,R,TD,38.0,Factorial,nan,True
388,638,R,TD,118.0,Fibonacci,nan,False
389,696,R,TD,137.0,Fibonacci,nan,True
390,706,R,TD,298.0,Fibonacci,nan,True
391,708,R,TD,115.0,Fibonacci,nan,False
392,709,R,TD,230.0,Fibonacci,nan,True
394,732,R,TD,110.0,Fibonacci,nan,False
395,736,R,TD,179.0,Fibonacci,nan,True
396,749,R,TD,163.0,Fibonacci,nan,False
397,750,R,TD,165.0,Fibonacci,nan,True
398,764,R,TD,146.0,Fibonacci,nan,False
399,769,R,TD,76.0,Fibonacci,nan,False
400,784,R,TD,120.0,Fibonacci,nan,True
401,788,R,TD,141.0,Fibonacci,nan,True
402,791,R,TD,144.0,Fibonacci,nan,False
403,792,R,TD,350.0,Fibonacci,nan,False
404,806,R,TD,208.0,Fibonacci,nan,False
405,816,R,TD,216.0,Fibonacci,nan,False
406,829,R,TD,157.0,Fibonacci,nan,True
407,841,R,TD,250.0,Fibonacci,nan,False
408,850,R,TD,5.0,Fibonacci,nan,True
409,857,R,TD,137.0,Fibonacci,nan,True
410,858,R,TD,157.0,Fibonacci,nan,True
411,868,R,TD,188.0,Fibonacci,nan,True
412,889,R,TD,174.76073619631902,Fibonacci,Outlier,False
413,895,R,TD,111.0,Fibonacci,nan,False
414,938,R,TD,338.0,Fibonacci,nan,True
415,948,R,TD,104.0,Fibonacci,nan,True
416,949,R,TD,145.0,Fibonacci,nan,True
417,631,R,TD,82.0,IntegerBinary,nan,True
418,699,R,TD,109.0,IntegerBinary,nan,True
419,700,R,TD,54.0,IntegerBinary,nan,False
420,761,R,TD,173.0,IntegerBinary,nan,True
421,767,R,TD,53.0,IntegerBinary,nan,True
422,828,R,TD,166.0,IntegerBinary,nan,True
423,837,R,TD,49.0,IntegerBinary,nan,True
425,852,R,TD,292.0,IntegerBinary,nan,False
426,859,R,TD,334.0,IntegerBinary,nan,True
427,860,R,TD,227.0,IntegerBinary,nan,True
428,886,R,TD,62.0,IntegerBinary,nan,True
429,936,R,TD,307.0,IntegerBinary,nan,False
430,946,R,TD,208.0,IntegerBinary,nan,True
431,958,R,TD,86.0,IntegerBinary,nan,True
432,708,R,TD,100.0,MultiplyMatrix,nan,False
434,750,R,TD,375.0,MultiplyMatrix,nan,True
435,784,R,TD,174.76073619631902,MultiplyMatrix,Outlier,False
436,792,R,TD,377.0,MultiplyMatrix,nan,True
437,829,R,TD,122.0,MultiplyMatrix,nan,False
438,841,R,TD,49.0,MultiplyMatrix,nan,False
439,857,R,TD,302.0,MultiplyMatrix,nan,True
440,938,R,TD,174.76073619631902,MultiplyMatrix,Outlier,True
441,949,R,TD,47.0,MultiplyMatrix,nan,False
442,653,R,TD,298.0,PrimeFactors,nan,False
444,730,R,TD,176.0,PrimeFactors,nan,False
445,735,R,TD,174.76073619631902,PrimeFactors,Outlier,False
446,744,R,TD,162.0,PrimeFactors,nan,False
447,759,R,TD,71.0,PrimeFactors,nan,True
448,762,R,TD,283.0,PrimeFactors,nan,True
449,803,R,TD,36.0,PrimeFactors,nan,False
450,830,R,TD,107.0,PrimeFactors,nan,True
451,834,R,TD,55.0,PrimeFactors,nan,False
452,853,R,TD,98.0,PrimeFactors,nan,False
453,880,R,TD,174.76073619631902,PrimeFactors,Outlier,False
454,888,R,TD,152.0,PrimeFactors,nan,True
455,941,R,TD,174.76073619631902,PrimeFactors,Outlier,False
457,653,R,TD,68.0,ReverseString,nan,True
458,707,R,TD,56.0,ReverseString,nan,True
459,717,R,TD,119.0,ReverseString,nan,True
460,730,R,TD,165.0,ReverseString,nan,False
461,735,R,TD,210.0,ReverseString,nan,True
462,740,R,TD,97.0,ReverseString,nan,False
463,744,R,TD,101.0,ReverseString,nan,True
464,759,R,TD,128.0,ReverseString,nan,True
465,762,R,TD,286.0,ReverseString,nan,False
466,768,R,TD,101.0,ReverseString,nan,False
467,782,R,TD,87.0,ReverseString,nan,False
468,787,R,TD,360.0,ReverseString,nan,True
469,793,R,TD,141.0,ReverseString,nan,False
470,803,R,TD,52.0,ReverseString,nan,True
471,804,R,TD,174.76073619631902,ReverseString,Outlier,True
473,830,R,TD,117.0,ReverseString,nan,False
474,834,R,TD,46.0,ReverseString,nan,True
475,851,R,TD,174.76073619631902,ReverseString,Outlier,False
476,853,R,TD,253.0,ReverseString,nan,False
477,867,R,TD,378.0,ReverseString,nan,True
478,880,R,TD,174.76073619631902,ReverseString,Outlier,True
479,888,R,TD,169.0,ReverseString,nan,False
480,898,R,TD,489.0,ReverseString,notNormal,False
482,631,I,TD,96.0,BinarySearch,nan,False
483,699,I,TD,240.0,BinarySearch,nan,True
484,700,I,TD,98.0,BinarySearch,nan,False
486,760,I,TD,39.0,BinarySearch,nan,False
487,761,I,TD,181.0,BinarySearch,nan,False
488,767,I,TD,71.0,BinarySearch,nan,False
489,828,I,TD,183.0,BinarySearch,nan,False
490,837,I,TD,165.0,BinarySearch,nan,True
492,852,I,TD,366.0,BinarySearch,nan,True
493,859,I,TD,477.0,BinarySearch,nan,True
494,860,I,TD,616.0,BinarySearch,nan,False
495,886,I,TD,151.0,BinarySearch,nan,True
496,936,I,TD,263.0,BinarySearch,nan,True
497,946,I,TD,128.0,BinarySearch,nan,True
498,958,I,TD,63.0,BinarySearch,nan,True
499,638,I,TD,241.48809523809524,BubbleSort,Outlier,False
500,696,I,TD,168.0,BubbleSort,nan,True
501,706,I,TD,236.0,BubbleSort,nan,False
502,708,I,TD,98.0,BubbleSort,nan,True
503,709,I,TD,180.0,BubbleSort,nan,True
505,732,I,TD,257.0,BubbleSort,nan,False
506,736,I,TD,241.0,BubbleSort,nan,True
507,749,I,TD,352.0,BubbleSort,nan,True
508,750,I,TD,351.0,BubbleSort,nan,True
509,764,I,TD,123.0,BubbleSort,nan,False
510,769,I,TD,173.0,BubbleSort,nan,False
511,784,I,TD,119.0,BubbleSort,nan,True
512,788,I,TD,281.0,BubbleSort,nan,False
513,791,I,TD,132.0,BubbleSort,nan,True
514,792,I,TD,308.0,BubbleSort,nan,True
515,806,I,TD,222.0,BubbleSort,nan,False
516,816,I,TD,231.0,BubbleSort,nan,True
517,829,I,TD,137.0,BubbleSort,nan,False
518,841,I,TD,236.0,BubbleSort,nan,False
519,850,I,TD,241.48809523809524,BubbleSort,Outlier,False
520,857,I,TD,275.0,BubbleSort,nan,False
521,858,I,TD,118.0,BubbleSort,nan,False
522,868,I,TD,241.48809523809524,BubbleSort,Outlier,True
523,877,I,TD,152.0,BubbleSort,nan,False
524,889,I,TD,94.0,BubbleSort,nan,True
525,895,I,TD,234.0,BubbleSort,nan,True
526,938,I,TD,613.0,BubbleSort,nan,True
527,948,I,TD,186.0,BubbleSort,nan,True
528,949,I,TD,224.0,BubbleSort,nan,False
529,653,I,TD,234.0,Factorial,nan,True
531,707,I,TD,31.0,Factorial,nan,True
532,717,I,TD,35.0,Factorial,nan,True
533,730,I,TD,48.0,Factorial,nan,True
534,735,I,TD,87.0,Factorial,nan,True
535,740,I,TD,108.0,Factorial,nan,False
536,744,I,TD,77.0,Factorial,nan,True
537,759,I,TD,122.0,Factorial,nan,True
538,762,I,TD,134.0,Factorial,nan,True
539,768,I,TD,86.0,Factorial,nan,False
540,782,I,TD,69.0,Factorial,nan,False
541,787,I,TD,455.0,Factorial,nan,False
542,793,I,TD,223.0,Factorial,nan,True
543,803,I,TD,23.0,Factorial,nan,True
544,804,I,TD,171.0,Factorial,nan,False
546,830,I,TD,198.0,Factorial,nan,True
547,834,I,TD,44.0,Factorial,nan,True
548,851,I,TD,49.0,Factorial,nan,True
549,853,I,TD,56.0,Factorial,nan,False
550,867,I,TD,20.0,Factorial,nan,True
551,880,I,TD,292.0,Factorial,nan,True
552,888,I,TD,96.0,Factorial,nan,True
553,898,I,TD,129.0,Factorial,nan,True
554,941,I,TD,107.0,Factorial,nan,True
556,631,I,TD,113.0,Fibonacci,nan,True
557,699,I,TD,74.0,Fibonacci,nan,True
558,700,I,TD,66.0,Fibonacci,nan,False
559,716,I,TD,284.0,Fibonacci,nan,True
561,734,I,TD,44.0,Fibonacci,nan,True
562,737,I,TD,133.0,Fibonacci,nan,False
563,751,I,TD,164.0,Fibonacci,nan,True
564,761,I,TD,523.0,Fibonacci,nan,True
565,773,I,TD,174.0,Fibonacci,nan,True
566,774,I,TD,328.0,Fibonacci,nan,False
567,794,I,TD,64.0,Fibonacci,nan,True
568,799,I,TD,103.0,Fibonacci,nan,True
569,805,I,TD,229.0,Fibonacci,nan,True
570,817,I,TD,110.0,Fibonacci,nan,True
571,825,I,TD,105.0,Fibonacci,nan,True
